Sentence,Category,Spacy
" Miller, and Alvin P.",H0,"[[0, 7, 'H0'], [12, 17, 'H0'], [18, 20, 'H0']]"
 Adams Sr.,H0,"[[0, 5, 'H0'], [6, 9, 'H0']]"
 His father was a Western Airlines executive.,None,[]
 His mother owned a bookstore.,None,[]
" The younger Adams attended Yale, like his father, and received a J.",H0,"[[12, 17, 'H0'], [27, 32, 'H1'], [65, 67, 'H1']]"
 D.,H1,"[[0, 2, 'H1']]"
 from Vanderbilt University Law School.,H1,"[[5, 15, 'H1'], [16, 26, 'H1'], [27, 30, 'H1'], [31, 38, 'H1']]"
 Adams joined the Foreign Service in 1967 and was appointed as the United States Ambassador to Djibouti in 1983 where he served until 1985.,H0,"[[0, 5, 'H0'], [6, 12, 'H1'], [13, 16, 'H1'], [17, 24, 'H1'], [25, 32, 'H1'], [66, 72, 'H1'], [73, 79, 'H1'], [80, 90, 'H1'], [91, 93, 'H1'], [94, 102, 'H1']]"
" His next ambassadorship was to Haiti, where he convinced Prosper Avril to relinquish power in a late night conversation held in March 1990.",H0,"[[9, 23, 'H1'], [31, 37, 'H1'], [57, 64, 'H0'], [65, 70, 'H0']]"
" In 1992, Adams was named ambassador to Peru, serving in that post until his retirement from the Foreign Service in 1996.",H0,"[[9, 14, 'H0'], [25, 35, 'H1'], [36, 38, 'H1'], [39, 44, 'H1'], [96, 103, 'H1'], [104, 111, 'H1']]"
" Adams also worked in Washington, D.",H0,"[[0, 5, 'H0']]"
 C.,None,[]
" , for what became the Bureau of Counterterrorism before his Haiti stint and was posted in Vietnam prior to all ambassadorial assignments.",H1,"[[22, 28, 'H1'], [29, 31, 'H1'], [32, 48, 'H1'], [60, 65, 'H1'], [111, 124, 'H1']]"
" There, he met his wife, Mai-Anh Nguyen.",H0,"[[14, 17, 'H1'], [18, 23, 'H1'], [24, 31, 'H0'], [32, 39, 'H0']]"
" Before their divorce, they had two sons, Lex and Tung Thanh, who died in the 1989 USS Iowa turret explosion.",H0,"[[13, 21, 'H1'], [41, 44, 'H0'], [49, 53, 'H0'], [54, 60, 'H0'], [77, 81, 'H1'], [82, 85, 'H1'], [86, 90, 'H1'], [91, 97, 'H1'], [98, 108, 'H1']]"
" Adams lived in Buenos Aires and Honolulu, then moved to Portland, Oregon in 2011, where he died on October 10, 2015, aged 73.",H0,"[[0, 5, 'H0'], [99, 106, 'H1'], [107, 110, 'H1'], [111, 116, 'H1'], [117, 121, 'H1'], [122, 125, 'H1']]"
" ""Alvin P.",H0,"[[7, 9, 'H0']]"
" Adams (1942–2015)"".",H0,"[[0, 5, 'H0'], [6, 19, 'H0']]"
 Office of the Historian.,H1,"[[0, 6, 'H1']]"
 Retrieved 18 October 2015.,None,[]
" Gregory Harry Adamian (September 17, 1926 – November 21, 2015) was the President Emeritus and Chancellor of Bentley College, now Bentley University.",H0,"[[0, 7, 'H0'], [8, 13, 'H0'], [14, 21, 'H0'], [22, 32, 'H1'], [33, 36, 'H1'], [37, 41, 'H1'], [42, 43, 'H1'], [44, 52, 'H1'], [53, 56, 'H1'], [57, 62, 'H1'], [71, 80, 'H1'], [81, 89, 'H1'], [90, 93, 'H1'], [94, 104, 'H1'], [105, 107, 'H1'], [108, 115, 'H1'], [116, 124, 'H1'], [125, 128, 'H1'], [129, 136, 'H1'], [137, 148, 'H1']]"
 He served as president of Bentley from 1970 until 1991.,H1,"[[13, 22, 'H1'], [23, 25, 'H1'], [26, 33, 'H1']]"
" Adamian was born in Somerville, Massachusetts to a family of Armenian descent.",H0,"[[0, 7, 'H0'], [20, 31, 'H1'], [32, 45, 'H1'], [61, 69, 'H1']]"
" He was raised in Brooklyn, NY and Watertown, MA, served as an Officer in the United States Navy in World War II, serving in the Pacific, and graduated from Harvard University.",H1,"[[62, 69, 'H1'], [70, 72, 'H1'], [73, 76, 'H1'], [77, 83, 'H1'], [84, 90, 'H1'], [91, 95, 'H1'], [141, 150, 'H1'], [151, 155, 'H1'], [156, 163, 'H1'], [164, 175, 'H1']]"
 He then studied law at Boston University.,H1,"[[8, 15, 'H1'], [16, 19, 'H1'], [20, 22, 'H1'], [23, 29, 'H1'], [30, 41, 'H1']]"
 Adamian joined the Bentley College faculty in 1955 and was named chair of the Law Department in 1968.,H0,"[[0, 7, 'H0'], [19, 26, 'H1'], [27, 34, 'H1'], [35, 42, 'H1'], [65, 70, 'H1'], [71, 73, 'H1'], [74, 77, 'H1'], [78, 81, 'H1'], [82, 92, 'H1']]"
 He also taught at Suffolk University.,H1,"[[18, 25, 'H1'], [26, 37, 'H1']]"
" As Bentley’s president, Adamian oversaw dramatic growth.",H0,"[[3, 12, 'H1'], [13, 23, 'H1'], [24, 31, 'H0']]"
" The college’s endowment increased from $385,000 in 1970 to $60 million when he stepped down as president, enrollment doubled, and the faculty grew from 42 to 350.",H1,"[[95, 105, 'H1']]"
 Adamian oversaw a building boom at Bentley.,H0,"[[0, 7, 'H0'], [35, 43, 'H1']]"
" After he became president in 1970, the college added 27 buildings, including residence halls, classrooms, and athletic facilities, constructing an estimated $70 million worth of infrastructure for the college.",H1,"[[16, 25, 'H1']]"
" During his tenure, Bentley reached multiple milestones and added numerous programs.",H1,"[[11, 18, 'H1'], [19, 26, 'H1']]"
 Bentley began granting bachelor of science degrees in all business disciplines as well as a bachelor of arts degree in 1971 when it became Bentley College.,H1,"[[0, 7, 'H1'], [139, 146, 'H1'], [147, 155, 'H1']]"
" Two years later, the Graduate School was established and offered a master of science in accountancy and master of science in taxation degrees.",H1,"[[21, 29, 'H1'], [30, 36, 'H1']]"
" Adamian also oversaw the founding of the Center for Business Ethics in 1976, among the first in the United States.",H0,"[[0, 7, 'H0']]"
" In 1990, the traditional business college began offering majors in English, History and Philosophy.",None,[]
" Upon retirement, he was named Bentley chancellor and president emeritus.",H1,"[[30, 37, 'H1'], [38, 48, 'H1'], [53, 62, 'H1'], [63, 72, 'H1']]"
" Since 1980, Bentley has awarded the Gregory Adamian Award for Teaching Excellence in his honor.",H0,"[[12, 19, 'H1'], [36, 43, 'H0'], [44, 51, 'H0']]"
" The Adamian Academic Center at Bentley University houses the Center for Business Ethics, the Cronin Office of International Education, and the Center for Languages and International Collaboration.",H0,"[[4, 11, 'H0'], [12, 20, 'H1'], [21, 27, 'H1'], [28, 30, 'H1'], [31, 38, 'H1'], [39, 49, 'H1']]"
" As chairman, vice chairman and treasurer of the Association of Independent Colleges and Universities in Massachusetts (AICUM), he was a strong advocate for increased financial aid.",H1,"[[3, 12, 'H1'], [13, 17, 'H1'], [18, 26, 'H1'], [31, 40, 'H1'], [41, 43, 'H1'], [44, 47, 'H1'], [48, 59, 'H1'], [60, 62, 'H1'], [63, 74, 'H1'], [75, 83, 'H1'], [84, 87, 'H1'], [88, 100, 'H1'], [101, 103, 'H1'], [104, 117, 'H1'], [118, 126, 'H1']]"
" He was also a member of many corporate and non-profit boards, including Liberty Mutual, the Massachusetts Higher Education Assistance Corporation, West End House and Inroads.",H1,"[[72, 79, 'H1'], [80, 87, 'H1'], [92, 105, 'H1'], [106, 112, 'H1'], [113, 122, 'H1'], [123, 133, 'H1'], [134, 146, 'H1'], [147, 151, 'H1'], [152, 155, 'H1'], [156, 161, 'H1'], [166, 174, 'H1']]"
 Adamian was a leading member of the Armenian-American community and an articulate spokesman on the Armenian genocide.,H0,"[[0, 7, 'H0']]"
" A founding director of the National Association for Armenian Studies and Research, he helped establish an endowed chair in Armenian studies at Harvard University.",H1,"[[2, 10, 'H1'], [11, 19, 'H1'], [20, 22, 'H1'], [23, 26, 'H1'], [27, 35, 'H1'], [36, 47, 'H1'], [48, 51, 'H1'], [52, 60, 'H1'], [61, 68, 'H1'], [69, 72, 'H1'], [73, 82, 'H1']]"
" In 1990, he received the Humanity Award from Facing History and Ourselves for his work as a spokesman for the Armenian-American community.",None,[]
 He has worked with other members of the Armenian diaspora to fund the education of students from Armenia who would otherwise not be able to attend American colleges.,None,[]
 Adamian served as chair of the Committee for the Resettlement of Armenians in the United States.,H0,"[[0, 7, 'H0'], [18, 23, 'H1'], [24, 26, 'H1'], [27, 30, 'H1'], [31, 40, 'H1'], [41, 44, 'H1'], [45, 48, 'H1'], [49, 61, 'H1'], [62, 64, 'H1'], [65, 74, 'H1'], [75, 77, 'H1'], [78, 81, 'H1'], [82, 88, 'H1'], [89, 96, 'H1']]"
" He was also the recipient of the Ellis Island Medal of Honor for lifetime contributions to education, business, law, and cultural and civic life in America.",None,[]
" He served on the boards of the International Armenian General Benevolent Union, St.",H1,"[[17, 23, 'H1'], [24, 26, 'H1'], [27, 30, 'H1'], [31, 44, 'H1'], [45, 53, 'H1'], [54, 61, 'H1'], [62, 72, 'H1'], [73, 79, 'H1'], [80, 83, 'H1']]"
 Nerses Seminary and the Armenian National Science and Education Fund.,H1,"[[0, 6, 'H1'], [7, 15, 'H1'], [16, 19, 'H1'], [20, 23, 'H1'], [24, 32, 'H1'], [33, 41, 'H1'], [42, 49, 'H1'], [50, 53, 'H1'], [54, 63, 'H1'], [64, 69, 'H1']]"
" In 1998, he received the medal of St.",None,[]
 Sahag and St.,None,[]
" Mesrob from Karekin I, Catholicos of All Armenians.",None,[]
" In 1991, he received an honorary Doctor of Laws degree from Boston University and an honorary degree from Bentley University.",None,[]
 Dr.,H0,"[[0, 3, 'H0']]"
" Adamian died on Saturday, November 21, 2015 at his home in Medford, Massachusetts.",H0,"[[0, 7, 'H0'], [16, 25, 'H1'], [26, 34, 'H1'], [35, 38, 'H1'], [39, 43, 'H1'], [47, 50, 'H1'], [51, 55, 'H1'], [56, 58, 'H1'], [59, 67, 'H1'], [68, 82, 'H1']]"
" He is survived by his wife, the former Debbie Murdza, and two sons, Gregory and Daniel.",H0,"[[22, 27, 'H1'], [39, 45, 'H0'], [46, 53, 'H0'], [68, 75, 'H0'], [80, 87, 'H0']]"
 Mihai Adam (3 July 1940 – 11 December 2015) was a Romanian football player.,H0,"[[0, 5, 'H0'], [6, 10, 'H0'], [11, 13, 'H1'], [14, 18, 'H1'], [19, 23, 'H1'], [24, 25, 'H1'], [26, 28, 'H1'], [29, 37, 'H1'], [38, 43, 'H1'], [50, 58, 'H1']]"
 Universitatea ClujRomanian Cup (1): 1964–65 Total matches played in Romanian First League: 353 matches - 160 goals.,H1,"[[68, 76, 'H1']]"
" Topscorer of Romanian First League: 1965, 1968 and 1974.",H1,"[[13, 21, 'H1']]"
 Inter-Cities Fairs Cup 1965–66: 4 matches - 1 goal.,None,[]
 Total Romania Under 23: 7 matches - 3 goals.,H1,"[[6, 13, 'H1']]"
" Total Romania ""B"": 1 match - 0 goals.",H1,"[[6, 13, 'H1']]"
" He has scored 160 goals in Liga I, being ranked 9th in the all-time scoring table, but he has never been capped for Romania.",H1,"[[116, 124, 'H1']]"
 Mihai Adam at RomanianSoccer.,H0,"[[0, 5, 'H0'], [6, 10, 'H0'], [14, 29, 'H1']]"
 ro (in Romanian) and StatisticsFootball.,H1,"[[0, 2, 'H1'], [3, 6, 'H1'], [7, 16, 'H1']]"
" Hazel Joyce Marriott, née Willett (9 July 1920 – 22 November 2015), known professionally as Hazel Adair, was a British actress turned screenwriter and creator of soap operas for radio and television.",H0,"[[0, 5, 'H0'], [6, 11, 'H0'], [12, 21, 'H0'], [22, 25, 'H0'], [26, 33, 'H0'], [34, 36, 'H1'], [37, 41, 'H1'], [42, 46, 'H1'], [47, 48, 'H1'], [49, 51, 'H1'], [52, 60, 'H1'], [61, 67, 'H1'], [92, 97, 'H0'], [98, 104, 'H0'], [111, 118, 'H1']]"
 She is best known for co-creating Crossroads with Peter Ling.,H0,"[[34, 44, 'H1'], [50, 55, 'H0'], [56, 61, 'H0']]"
" Hazel Joyce Willett was born in 1920 at Darjeeling, British India,, daughter of Ada ""Alma"" (Rhames) and Edward Willett, an engineer who work in Calcuta.",H0,"[[0, 5, 'H0'], [6, 11, 'H0'], [12, 19, 'H0'], [32, 36, 'H1'], [37, 39, 'H1'], [40, 51, 'H1'], [52, 59, 'H1'], [60, 67, 'H1'], [80, 83, 'H0'], [84, 90, 'H0'], [91, 99, 'H0'], [104, 110, 'H0'], [111, 119, 'H0']]"
" At 9 months old, her British family returned to England, where her parents divorced in 1923, when she was two years old.",H1,"[[21, 28, 'H1'], [75, 83, 'H1']]"
" Her mother later remarried Edward Hamblin, and she adopted his surname.",H0,"[[17, 26, 'H1'], [27, 33, 'H0'], [34, 42, 'H0'], [43, 46, 'H1'], [47, 50, 'H1'], [51, 58, 'H1'], [59, 62, 'H1'], [63, 71, 'H1']]"
" In 1940, Hazel wed Gordon Mackenzie, a rancher from Brazil.",H0,"[[9, 14, 'H0'], [15, 18, 'H1'], [19, 25, 'H0'], [26, 36, 'H0'], [52, 59, 'H1']]"
" The couple had one son Colin, afther WWII her husband returned to Brazil and they divorced in 1949.",H0,"[[4, 10, 'H1'], [23, 29, 'H0'], [46, 53, 'H1'], [66, 72, 'H1'], [82, 90, 'H1']]"
" In 1950, Hazel remarried Ronald Marriott, an actor-writer, who died in 1972, and with whom she had 5 children.",H0,"[[9, 14, 'H0'], [15, 24, 'H1'], [25, 31, 'H0'], [32, 41, 'H0'], [71, 76, 'H1']]"
" Using Adair as her stage name, she began her career as an actress with parts in the film My Brother Jonathan (1948) and the BBC television drama Lady Precious Stream (1950), originally a stage play by the British Chinese writer Hsiung Shih-I.",H0,"[[6, 11, 'H0'], [228, 234, 'H0'], [235, 242, 'H0']]"
 She then turned her attention to writing scripts for radio and television.,None,[]
" Together with her second husband, Ronald Marriott, she wrote Stranger from Space (1952), an episodic serial for the Whirligig children's television series.",H0,"[[25, 33, 'H1'], [34, 40, 'H0'], [41, 50, 'H0']]"
" With Jonquil Antony (later Peter Ling), she wrote scripts for the radio soap opera Mrs Dale's Diary, and with Antony co-created ITV's first soap, Sixpenny Corner, which ran for eight months during 1955 and 1956, five days a week in a 15-minute slot.",H0,"[[5, 12, 'H0'], [13, 19, 'H0'], [27, 32, 'H0'], [33, 39, 'H0'], [110, 116, 'H1']]"
 She formed a professional relationship with Peter Ling.,H0,"[[44, 49, 'H0'], [50, 55, 'H0']]"
" The partnership created Compact (1962–5), based on her experiences working for Woman's Own, and the long-running Crossroads series.",None,[]
" She recalled a working lunch with ATV head Lew Grade in August 1964 in which he requested the creation of a daily soap opera to be built around Noele Gordon, then in her mid-40s and under contract, to run from the following October.",H0,"[[34, 37, 'H1'], [38, 42, 'H1'], [43, 46, 'H1'], [47, 52, 'H1'], [144, 149, 'H0'], [150, 157, 'H0']]"
" Adair and Ling quickly came up with the format, based around a widow, Meg Richardson, and her motel business.",H0,"[[0, 5, 'H0'], [10, 14, 'H0'], [70, 73, 'H0'], [74, 85, 'H0']]"
" Despite limited production values, it became a hit, although a secondary storyline around the village shop of Richardson's sister was soon eliminated.",H0,"[[110, 122, 'H0']]"
" Initially only screened in the Midland ATV franchise area from November, it was eventually taken up by the entire ITV network, and continued (in its original run) until 1988, although Adair's direct involvement lasted only until the mid-1970s.",H0,"[[184, 191, 'H0']]"
" With Ling, she wrote for programmes such as Champion House (1967–68), which they also created, and for Doctor Who; the script by Adair and Ling for the latter was only produced as an audio book decades later.",H0,"[[5, 10, 'H0'], [129, 134, 'H0'], [139, 143, 'H0']]"
" As a script writer on Emergency – Ward 10, she wrote what was long thought to be the first interracial kiss on television in Britain, broadcast in June 1964, but this has been found to be incorrect.",None,[]
" Her other work, Compact, featured the first black actor to appear regularly (Horace James between August and October 1964) and the earliest unmarried mother in a soap, while Crossroads had the first black family to be included in the regular cast of a British soap.",H0,"[[84, 89, 'H0'], [90, 97, 'H0']]"
 She had an intermittent career in the film industry.,None,[]
" She wrote the script for Life in Emergency Ward 10 (1958), a spin-off film for which she was credited with the series' creator Tessa Diamond, and the Bob Monkhouse movie Dentist on the Job (1961) (with Hugh Woodhouse).",H0,"[[127, 132, 'H0'], [133, 141, 'H0'], [150, 153, 'H0'], [154, 163, 'H0'], [202, 206, 'H0'], [207, 218, 'H0']]"
" In the 1970s she formed Pyramid Films with the broadcaster on wrestling, Kent Walton, with both adopting a joint nom de plume as the writers of the scripts.",H0,"[[73, 77, 'H0'], [78, 85, 'H0']]"
 The company ventured into producing erotic films such as Virgin Witch (1971) and Game for Vultures (1979) and sex comedies such as Clinic Exclusive (1971) and Keep It Up Downstairs (1976).,None,[]
" She drew on her experiences as an ambulance driver during second world war for a work of romantic fiction, Blitz on Balaclava Street (1983), published under the pseudonym of Clare Nicol.",H0,"[[174, 179, 'H0'], [180, 186, 'H0']]"
" Adair was joint head of the Writer's Guild with Denis Norden and called a six-week strike in the 1960s, which eventually led Lew Grade agreeing to minimum wages and royalties for scriptwriters.",H0,"[[0, 5, 'H0'], [16, 20, 'H1'], [21, 23, 'H1'], [24, 27, 'H1'], [28, 36, 'H1'], [37, 42, 'H1'], [48, 53, 'H0'], [54, 60, 'H0'], [125, 128, 'H0'], [129, 134, 'H0']]"
" She died on 22 November 2015, at the age of 95.",H1,"[[12, 14, 'H1'], [15, 23, 'H1'], [24, 29, 'H1'], [44, 47, 'H1']]"
" She was survived by her six children, 11 grandchildren and 8 great-grandchildren.",None,[]
" Amir Dan Aczel (; November 6, 1950 – November 26, 2015) was an Israeli-born American lecturer in mathematics and the history of mathematics and science, and an author of popular books on mathematics and science.",H0,"[[0, 4, 'H0'], [5, 8, 'H0'], [9, 14, 'H0'], [15, 17, 'H1'], [18, 26, 'H1'], [27, 29, 'H1'], [30, 34, 'H1'], [35, 36, 'H1'], [37, 45, 'H1'], [46, 49, 'H1'], [50, 55, 'H1'], [63, 75, 'H1'], [76, 84, 'H1']]"
 Amir D.,H0,"[[0, 4, 'H0'], [5, 7, 'H0']]"
" Aczel was born in Haifa, Israel.",H0,"[[0, 5, 'H0'], [18, 24, 'H1'], [25, 32, 'H1']]"
 Aczel's father was the captain of a passenger ship that sailed primarily in the Mediterranean Sea.,H0,"[[0, 7, 'H0']]"
" When he was ten, Aczel's father taught his son how to steer a ship and navigate.",H0,"[[17, 24, 'H0']]"
 This inspired Aczel's book The Riddle of the Compass.,H0,"[[14, 21, 'H0']]"
" When Aczel was 21, he studied at the University of California, Berkeley.",H0,"[[5, 10, 'H0'], [22, 29, 'H1'], [30, 32, 'H1'], [33, 36, 'H1'], [37, 47, 'H1'], [48, 50, 'H1'], [51, 62, 'H1'], [63, 72, 'H1']]"
" He graduated with a BA in mathematics in 1975, and received a Master of Science in 1976.",H1,"[[3, 12, 'H1'], [13, 17, 'H1'], [18, 19, 'H1'], [20, 22, 'H1'], [23, 25, 'H1'], [26, 37, 'H1'], [62, 68, 'H1'], [69, 71, 'H1'], [72, 79, 'H1']]"
 Several years later Aczel earned a Ph.,H0,"[[20, 25, 'H0'], [35, 38, 'H1']]"
 D.,H1,"[[0, 2, 'H1']]"
 in statistics from the University of Oregon.,H1,"[[0, 2, 'H1'], [3, 13, 'H1'], [14, 18, 'H1'], [19, 22, 'H1'], [23, 33, 'H1'], [34, 36, 'H1'], [37, 44, 'H1']]"
" Aczel taught mathematics at universities in California, Alaska, Massachusetts, Italy, and Greece.",H0,"[[0, 5, 'H0'], [28, 40, 'H1'], [41, 43, 'H1'], [44, 55, 'H1'], [56, 63, 'H1'], [64, 78, 'H1'], [79, 85, 'H1'], [86, 89, 'H1'], [90, 97, 'H1']]"
" He married his wife Debra in 1984 and had one daughter, Miriam, and one stepdaughter.",H0,"[[3, 10, 'H1'], [11, 14, 'H1'], [15, 19, 'H1'], [20, 25, 'H0'], [56, 63, 'H0']]"
" He accepted a professorship at Bentley College in Massachusetts, where he taught classes on the history of science and the history of mathematics.",H1,"[[14, 27, 'H1'], [28, 30, 'H1'], [31, 38, 'H1'], [39, 46, 'H1'], [47, 49, 'H1'], [50, 64, 'H1']]"
" While teaching at Bentley, Aczel wrote several non-technical books on mathematics and science, as well as two textbooks.",H0,"[[18, 26, 'H1'], [27, 32, 'H0']]"
" His book, Fermat's Last Theorem (ISBN 978-1-56858-077-7), was a United States bestseller and was nominated for a Los Angeles Times Book Prize.",None,[]
" Aczel appeared on CNN, CNBC, The History Channel, and Nightline.",H0,"[[0, 5, 'H0']]"
 Aczel was a 2004 Fellow of the John Simon Guggenheim Memorial Foundation and Visiting Scholar in the History of Science at Harvard University (2007).,H0,"[[0, 5, 'H0'], [17, 23, 'H1'], [24, 26, 'H1'], [27, 30, 'H1'], [31, 35, 'H1'], [36, 41, 'H1'], [42, 52, 'H1'], [53, 61, 'H1'], [62, 72, 'H1'], [77, 85, 'H1'], [86, 93, 'H1'], [94, 96, 'H1'], [97, 100, 'H1'], [101, 108, 'H1'], [109, 111, 'H1'], [112, 119, 'H1'], [120, 122, 'H1'], [123, 130, 'H1'], [131, 141, 'H1']]"
" In 2003, he became a research fellow at the Boston University Center for Philosophy and History of Science, and in Fall 2011 was teaching mathematics courses at University of Massachusetts Boston.",H1,"[[21, 29, 'H1'], [30, 36, 'H1'], [37, 39, 'H1'], [40, 43, 'H1'], [44, 50, 'H1'], [51, 61, 'H1'], [62, 68, 'H1'], [69, 72, 'H1'], [73, 83, 'H1'], [84, 87, 'H1'], [88, 95, 'H1'], [96, 98, 'H1'], [99, 107, 'H1'], [161, 171, 'H1'], [172, 174, 'H1'], [175, 188, 'H1'], [189, 196, 'H1']]"
" He died in Nîmes, France in 2015 from cancer.",H1,"[[11, 17, 'H1'], [18, 24, 'H1'], [25, 27, 'H1'], [28, 32, 'H1'], [33, 37, 'H1'], [38, 45, 'H1']]"
 How to Beat the I.,None,[]
 R.,None,[]
 S.,None,[]
" at Its Own Game: Strategies to Avoid and Fight an Audit, 1996.",None,[]
" ISBN 978-1-56858-048-7 Fermat's Last Theorem: Unlocking the Secret of an Ancient Mathematical Problem, 1997.",None,[]
" ISBN 978-1-56858-077-7 God's Equation: Einstein, Relativity, and the Expanding Universe, 1999.",None,[]
" ISBN 1-56858-139-4 The Mystery of the Aleph: Mathematics, the Kabbalah, and the Search for Infinity, 2000.",None,[]
" ISBN 1-56858-105-X Probability 1: The Book That Proves There Is Life In Outer Space, Harvest Books, January 2000.",None,[]
 ISBN 0-15-601080-1.,None,[]
" The Riddle of the Compass: The Invention that Changed the World, 2001.",None,[]
" ISBN 0-15-100506-0 Entanglement: The Greatest Mystery in Physics, 2002.",None,[]
" ISBN 978-1-56858-232-0 and ISBN 978-0-452-28457-9 Pendulum: Léon Foucault and the Triumph of Science, 2003.",None,[]
" ISBN 0-7434-6478-8 Chance: A Guide to Gambling, Love, and the Stock Market, 2004.",None,[]
" ISBN 1-56858-316-8 Descartes' Secret Notebook: A True Tale of Mathematics, Mysticism, and the Quest to Understand the Universe, 2005.",None,[]
" ISBN 0-7679-2033-3 The Artist and the Mathematician: The Story of Nicolas Bourbaki, the Genius Mathematician Who Never Existed, 2007.",None,[]
" High Stakes Publishing, London.",None,[]
 ISBN 1-84344-034-2.,None,[]
" The Jesuit and the Skull: Teilhard de Chardin, Evolution, and the Search for Peking Man, 2007.",None,[]
" ISBN 978-1-594-48956-3 Uranium Wars: The Scientific Rivalry that Created the Nuclear Age, 2009.",None,[]
" ISBN 978-0-230-61374-4 The Cave and the Cathedral: How a Real-Life Indiana Jones and a Renegade Scholar Decoded the Ancient Art of Man, 2009.",None,[]
" ISBN 978-0-470-37353-8 Present at the Creation: The Story of CERN and the Large Hadron Collider, 2010.",None,[]
 ISBN 978-0-307-59167-8 Present at the Creation: Discovering the Higgs Boson (updated ed.,None,[]
 ).,None,[]
2012,None,[]
" A Strange Wilderness: The Lives of the Great Mathematicians, 2011.",None,[]
" ISBN 978-1-4027-8584-9 Why Science Does Not Disprove God, 2014.",None,[]
" ISBN 978-0-062-23061-4 Finding Zero, 2015.",None,[]
" ISBN 978-1-137-27984-2 Ono, Ken; Aczel, Amir D.",H0,"[[23, 27, 'H0'], [28, 32, 'H0'], [33, 39, 'H0'], [40, 44, 'H0'], [45, 47, 'H0']]"
 (2016-04-13).,None,[]
 My Search for Ramanujan: How I Learned to Count.,None,[]
 Springer.,None,[]
 ISBN 978-3319255668.,None,[]
" Amir Aczel at the Mathematics Genealogy Project Appearances on C-SPAN ""Amir Aczel: ""Finding Zero"", Talks at Google"".",H0,"[[0, 4, 'H0'], [5, 10, 'H0'], [76, 82, 'H0'], [83, 91, 'H0']]"
 YouTube.,None,[]
 27 January 2015.,None,[]
 Sabino Acquaviva (29 April 1927 – 29 December 2015) was an Italian sociologist.,H0,"[[0, 6, 'H0'], [7, 16, 'H0'], [17, 20, 'H1'], [21, 26, 'H1'], [27, 31, 'H1'], [32, 33, 'H1'], [34, 36, 'H1'], [37, 45, 'H1'], [46, 51, 'H1'], [59, 66, 'H1']]"
 He was president and director of University of Padua between 1977 and 1988.,H1,"[[7, 16, 'H1'], [17, 20, 'H1'], [21, 29, 'H1'], [30, 32, 'H1'], [33, 43, 'H1'], [44, 46, 'H1'], [47, 52, 'H1']]"
" Acquaviva died on 29 December 2015 in his hometown of Padua, Italy.",H1,"[[0, 9, 'H1'], [18, 20, 'H1'], [21, 29, 'H1'], [30, 34, 'H1'], [38, 41, 'H1'], [42, 50, 'H1'], [51, 53, 'H1'], [54, 60, 'H1'], [61, 67, 'H1']]"
 James Dudley Achurch (21 January 1928 – 5 November 2015) was an Australian javelin thrower who competed in the 1956 Summer Olympics.,H0,"[[0, 5, 'H0'], [6, 12, 'H0'], [13, 20, 'H0'], [21, 24, 'H1'], [25, 32, 'H1'], [33, 37, 'H1'], [38, 39, 'H1'], [40, 41, 'H1'], [42, 50, 'H1'], [51, 56, 'H1'], [64, 74, 'H1']]"
" He won the gold medal in the men's javelin throw event at the 1954 British Empire and Commonwealth Games in Vancouver, Canada.",H1,"[[67, 74, 'H1'], [75, 81, 'H1'], [82, 85, 'H1'], [86, 98, 'H1'], [99, 104, 'H1']]"
 Antônio Abujamra (15 September 1932 – 28 April 2015) was a Brazilian theatre and television director and actor.,H0,"[[0, 7, 'H0'], [8, 16, 'H0'], [17, 20, 'H1'], [21, 30, 'H1'], [31, 35, 'H1'], [36, 37, 'H1'], [38, 40, 'H1'], [41, 46, 'H1'], [47, 52, 'H1'], [59, 68, 'H1']]"
" Majored in journalism and philosophy at the Pontifícia Universidade Católica do Rio Grande do Sul in 1957, he started a career as a theater critic while directed and acted his own plays for university theater.",H1,"[[0, 7, 'H1'], [8, 10, 'H1'], [11, 21, 'H1'], [22, 25, 'H1'], [26, 36, 'H1'], [37, 39, 'H1'], [40, 43, 'H1'], [44, 54, 'H1'], [55, 67, 'H1'], [68, 76, 'H1'], [77, 79, 'H1'], [80, 83, 'H1'], [84, 90, 'H1'], [91, 93, 'H1'], [94, 97, 'H1']]"
" Professionally, he debuted as a theatre director in 1961, and as an actor in 1987, acting in both theatre and television.",None,[]
" In 1989, he became known nationally by his role as Ravengar in Rede Globo's telenovela Que Rei Sou Eu?, which became his most known role.",None,[]
" In that same year, Abujamra won the Best Actor Award at the Gramado Film Festival for his role in the film Festa.",H0,"[[19, 27, 'H0']]"
" From 2000 onward, he was the presenter of TV Cultura's interview program Provocações.",H1,"[[29, 38, 'H1'], [39, 41, 'H1'], [42, 44, 'H1'], [45, 54, 'H1'], [55, 64, 'H1'], [65, 72, 'H1'], [73, 85, 'H1']]"
" Muhammad Banaru Abubakar (Barayan Gombe) (October, 1939 to November, 2015) was a Nigerian Administrator and public servant .",H0,"[[0, 8, 'H0'], [9, 15, 'H0'], [16, 24, 'H0'], [25, 33, 'H1'], [34, 40, 'H1'], [41, 50, 'H1'], [51, 55, 'H1'], [56, 58, 'H1'], [59, 68, 'H1'], [69, 74, 'H1'], [81, 89, 'H1']]"
" He died on the evening of Saturday, November 21, 2015.",H1,"[[15, 22, 'H1'], [23, 25, 'H1'], [26, 35, 'H1'], [36, 44, 'H1'], [45, 48, 'H1'], [49, 54, 'H1']]"
